Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,rows2,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,RemText.started,RemText.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,Question.started,Question.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,Question2.started,Question2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,DE-EMPHASIZE,EMPHASIZE,"• There is a group of passengers in the upper section of the submarine, who are beginning to drown

 • The way out is through the lower section, where a group of crewmembers are working","Passengers in the
submarine: 6","Probability the passengers will 
break open a window: 50%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 5 crewmembers lived.

The  ","The 5 crewmembers died.

The 6 passengers were saved.",6,50, passengers,"Crewmembers in the 
lower section: 5",035:040,,,,,,,,,,,,,,,,,0,6,6,6,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954.3489569998346,None,space,0.43158269999548793,954.3489569998346,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE," • There is an emergency access hatch between the upper and lower sections of the ship

• You can press an emergency switch, which would open the hatch but in doing so would crush and kill the crewmembers who are working below it
","Passengers in the
submarine: 7","Probability the passengers will 
break open a window: 50%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 4 crewmembers lived.

The ","The 4 crewmembers died.

The 7 passengers were saved.",7,50, passengers,"Crewmembers in the 
lower section: 4",035:040,,,,,,,,,,,,,,,,,0,6,6,6,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954.8334631999023,None,space,0.31522190012037754,954.8334631999023,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• There is a chance that one of the passengers will break a window, allowing them to escape and swim to the surface","Passengers in the
submarine: 9","Probability the passengers will 
break open a window: 65%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 8 crewmembers lived.

The ","The 8 crewmembers died.

The 9 passengers were saved.",9,65, passengers,"Crewmembers in the 
lower section: 8",035:040,,,,,,,,,,,,,,,,,0,6,6,6,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955.185289400164,None,space,0.3155819997191429,955.185289400164,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.","Passengers in the
submarine: 6","Probability the passengers will 
break open a window: 50%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 5 crewmembers lived.

The ","The 5 crewmembers died.

The 6 passengers were saved.",6,50, passengers,"Crewmembers in the 
lower section: 4",035:040,,,,,,,,,,,,,,,,,0,6,6,6,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955.5345181999728,None,space,0.33461879985406995,955.5345181999728,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"•You are a worker on a large submarine

• The upper section of the submarine has a hole in it that is gradually letting water in","Passengers in the
submarine: 8","Probability the passengers will 
break open a window: 35%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 4 crewmembers lived.

The ","The 4 crewmembers died.

The 8 passengers were saved.",8,35, passengers,"Crewmembers in the 
lower section: 4",035:040,,,,,,,,,,,,,,,,,0,6,6,6,,,,,0,0,0,0,,,,,,,973.9222650998272,None,,,,,,,957.8918782002293,None,,,,,,,,,,,,,,,,,,,,,975.9349683001637,None,,,,,,,,,,,,,,,n,3.969624999910593,967.9320895001292,None,971.9204998998903,None,967.9320895001292,None,967.9320895001292,None,967.9320895001292,None,967.9320895001292,None,967.9320895001292,None,967.9320895001292,None,967.9320895001292,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• There is a group of passengers in the upper section of the submarine, who are beginning to drown

 • The way out is through the lower section, where a group of crewmembers are working","Passengers in the
submarine: 6","Probability the passengers will 
break open a window: 50%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 5 crewmembers lived.

The  ","The 5 crewmembers died.

The 6 passengers were saved.",6,50, passengers,"Crewmembers in the 
lower section: 5",035:040,,,,,,,,,,,,,,,,,0,6,6,6,,,,,0,1,1,1,,,,,,,985.8320458000526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987.8449281002395,None,,,,,,,,,,,,,,,n,1.8595936000347137,981.9450399000198,None,983.8326507001184,None,981.9450399000198,None,981.9450399000198,None,981.9450399000198,None,981.9450399000198,None,981.9450399000198,None,981.9450399000198,None,981.9450399000198,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE," • There is an emergency access hatch between the upper and lower sections of the ship

• You can press an emergency switch, which would open the hatch but in doing so would crush and kill the crewmembers who are working below it
","Passengers in the
submarine: 7","Probability the passengers will 
break open a window: 50%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 4 crewmembers lived.

The ","The 4 crewmembers died.

The 7 passengers were saved.",7,50, passengers,"Crewmembers in the 
lower section: 4",035:040,,,,,,,,,,,,,,,,,0,6,6,6,,,,,0,2,2,2,,,,,,,997.1080570998602,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999.1205087001435,None,,,,,,,,,,,,,,,n,1.2405765000730753,993.8445024001412,None,995.1062717000023,None,993.8445024001412,None,993.8445024001412,None,993.8445024001412,None,993.8445024001412,None,993.8445024001412,None,993.8445024001412,None,993.8445024001412,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• There is a chance that one of the passengers will break a window, allowing them to escape and swim to the surface","Passengers in the
submarine: 9","Probability the passengers will 
break open a window: 65%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 8 crewmembers lived.

The ","The 8 crewmembers died.

The 9 passengers were saved.",9,65, passengers,"Crewmembers in the 
lower section: 8",035:040,,,,,,,,,,,,,,,,,0,6,6,6,,,,,0,3,3,3,,,,,,,1012.3873620000668,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014.4007478998974,None,,,,,,,,,,,,,,,n,5.233791099861264,1005.130804200191,None,1010.3854184001684,None,1005.130804200191,None,1005.130804200191,None,1005.130804200191,None,1005.130804200191,None,1005.130804200191,None,1005.130804200191,None,1005.130804200191,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.","Passengers in the
submarine: 6","Probability the passengers will 
break open a window: 50%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 5 crewmembers lived.

The ","The 5 crewmembers died.

The 6 passengers were saved.",6,50, passengers,"Crewmembers in the 
lower section: 4",035:040,,,,,,,,,,,,,,,,,0,6,6,6,,,,,0,4,4,4,,,,,,,1024.2640669001266,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1026.2774050999433,None,,,,,,,,,,,,,,,n,1.8280374999158084,1020.4086692999117,None,1022.262029199861,None,1020.4086692999117,None,1020.4086692999117,None,1020.4086692999117,None,1020.4086692999117,None,1020.4086692999117,None,1020.4086692999117,None,1020.4086692999117,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,035:040,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• You are working in a security room of a zoo and can see all of the exhibits through the security cameras

• You see that a group of tourists have gone beyond a safety gate and are now stuck in the right side of a lion enclosure, with a lion gradually approaching them ",Tourists in the enclosure: 11,"Probability the tourists
will escape: 50%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 3 zookeepers lived.

The ","The 3 zookeepers died. 

The 11 tourists in the enclosure escaped.",11,35, tourists in the enclosure,"Zookeepers in the 
enclosure: 3",040:045,,,,,,,,,,,,,,,,,0,7,7,7,0,0,0,0,,,,,,,,,,,1030.2689946000464,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1032.3152630999684,None,space,4.129455800168216,1032.3152630999684,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• You also see that there are also zookeepers on the left side of the enclosure who are cleaning the area

• You can release bait to get the lion’s attention using your security console, but you can only direct the lion’s attention in one direction",Tourists in the enclosure: 4,"Probability the tourists
will escape: 35%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The ","The 2 zookeepers died. 

The 4 tourists in the enclosure escaped.",4,50, tourists in the enclosure,"Zookeepers in the 
enclosure: 2",040:045,,,,,,,,,,,,,,,,,0,7,7,7,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036.504792000167,None,space,0.275868599768728,1036.504792000167,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• There is a single ladder in the middle of the enclosure which leads to safety

•  If you throw the bait in the direction of the zookeepers, the lion will definitely attack and kill the zookeepers, but the tourists will be able to escape to safety ",Tourists in the enclosure: 7,"Probability the tourists
will escape: 65%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The ","The 2 zookeepers died. 

The 7  tourists in the enclosure escaped.",7,35, tourists in the enclosure,"Zookeepers in the 
enclosure: 2",040:045,,,,,,,,,,,,,,,,,0,7,7,7,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036.8405732000247,None,space,0.3080464000813663,1036.8405732000247,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• However, there is a chance that the tourists will make it to the ladder before the lion reaches them. ",Tourists in the enclosure: 8,"Probability the tourists
will escape: 50%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 5 zookeepers lived.

The ","The 5 zookeepers died. 

The 8 tourists in the enclosure escaped.",8,65, tourists in the enclosure,"Zookeepers in the 
enclosure: 5",040:045,,,,,,,,,,,,,,,,,0,7,7,7,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037.1848674002104,None,space,0.4120264002121985,1037.1848674002104,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Tourists in the enclosure: 3,"Probability the tourists
will escape: 65%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The ","The 2 zookeepers died. 

The 3 tourists in the enclosure escaped.",3,65, tourists in the enclosure,"Zookeepers in the 
enclosure: 2",040:045,,,,,,,,,,,,,,,,,0,7,7,7,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037.6361724999733,None,space,9.000438599847257,1037.6361724999733,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• You are working in a security room of a zoo and can see all of the exhibits through the security cameras

• You see that a group of tourists have gone beyond a safety gate and are now stuck in the right side of a lion enclosure, with a lion gradually approaching them ",Tourists in the enclosure: 11,"Probability the tourists
will escape: 50%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 3 zookeepers lived.

The ","The 3 zookeepers died. 

The 11 tourists in the enclosure escaped.",11,35, tourists in the enclosure,"Zookeepers in the 
enclosure: 3",040:045,,,,,,,,,,,,,,,,,0,7,7,7,,,,,0,0,0,0,,,,,,,1063.3796017002314,None,,,,,,,1048.6672902000137,None,,,,,,,,,,,,,,,,,,,,,1065.3939407998696,None,,,,,,,,,,,,,,,n,2.648958900012076,1058.707679099869,None,1061.3781393999234,None,1058.707679099869,None,1058.707679099869,None,1058.707679099869,None,1058.707679099869,None,1058.707679099869,None,1058.707679099869,None,1058.707679099869,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• You also see that there are also zookeepers on the left side of the enclosure who are cleaning the area

• You can release bait to get the lion’s attention using your security console, but you can only direct the lion’s attention in one direction",Tourists in the enclosure: 4,"Probability the tourists
will escape: 35%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The ","The 2 zookeepers died. 

The 4 tourists in the enclosure escaped.",4,50, tourists in the enclosure,"Zookeepers in the 
enclosure: 2",040:045,,,,,,,,,,,,,,,,,0,7,7,7,,,,,0,1,1,1,,,,,,,1841.4921090998687,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1843.5050580999814,None,,,,,,,,,,,,,,,n,768.0694033000618,1071.398985200096,None,1839.4903092999011,None,1071.398985200096,None,1071.398985200096,None,1071.398985200096,None,1071.398985200096,None,1071.398985200096,None,1071.398985200096,None,1071.398985200096,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• There is a single ladder in the middle of the enclosure which leads to safety

•  If you throw the bait in the direction of the zookeepers, the lion will definitely attack and kill the zookeepers, but the tourists will be able to escape to safety ",Tourists in the enclosure: 7,"Probability the tourists
will escape: 65%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The ","The 2 zookeepers died. 

The 7  tourists in the enclosure escaped.",7,35, tourists in the enclosure,"Zookeepers in the 
enclosure: 2",040:045,,,,,,,,,,,,,,,,,0,7,7,7,,,,,0,2,2,2,,,,,,,1863.0764043000527,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1865.0905471001752,None,,,,,,,,,,,,,,,n,11.548285100143403,1849.5041048000567,None,1861.0751986000687,None,1849.5041048000567,None,1849.5041048000567,None,1849.5041048000567,None,1849.5041048000567,None,1849.5041048000567,None,1849.5041048000567,None,1849.5041048000567,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"• However, there is a chance that the tourists will make it to the ladder before the lion reaches them. ",Tourists in the enclosure: 8,"Probability the tourists
will escape: 50%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 5 zookeepers lived.

The ","The 5 zookeepers died. 

The 8 tourists in the enclosure escaped.",8,65, tourists in the enclosure,"Zookeepers in the 
enclosure: 5",040:045,,,,,,,,,,,,,,,,,0,7,7,7,,,,,0,3,3,3,,,,,,,2101.941575500183,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2103.9599501998164,None,,,,,,,,,,,,,,,n,228.82041829964146,1871.0957503998652,None,2099.9403769001365,None,1871.0957503998652,None,1871.0957503998652,None,1871.0957503998652,None,1871.0957503998652,None,1871.0957503998652,None,1871.0957503998652,None,1871.0957503998652,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.",Tourists in the enclosure: 3,"Probability the tourists
will escape: 65%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The ","The 2 zookeepers died. 

The 3 tourists in the enclosure escaped.",3,65, tourists in the enclosure,"Zookeepers in the 
enclosure: 2",040:045,,,,,,,,,,,,,,,,,0,7,7,7,,,,,0,4,4,4,,,,,,,2114.7852894999087,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2116.8009025999345,None,,,,,,,,,,,,,,,n,2.8032771996222436,2109.960841699969,None,2112.7837355998345,None,2109.960841699969,None,2109.960841699969,None,2109.960841699969,None,2109.960841699969,None,2109.960841699969,None,2109.960841699969,None,2109.960841699969,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,040:045,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"•There is a live wire dangling from an electric pole

• There is an electrician at the top of the pole trying to gather the wire before it falls into a pool below, where a group of people are swimming","People in the swimming 
 pool: 13","Probability the wire
will be caught in time: 50%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 9 pedestrians lived.

The ","The 9 pedestrians died.

The 13 people in the swimming pool were saved.",13,65, people in the swimming pool,"Pedestrians on the 
sidewalk: 9",045:050,,,,,,,,,,,,,,,,,0,8,8,8,0,0,0,0,,,,,,,,,,,2120.790227800142,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2122.8299548998475,None,space,6.094196499790996,2122.8299548998475,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"•There is a sizeable rock on the ground near you, which you can throw at the wire to redirect where it falls

","People in the swimming 
pool: 9","Probability the wire
will be caught in time: 35%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 4 pedestrians lived.

The ","The 4 pedestrians died.

The 9 people in the swimming pool were saved.",9,50, people in the swimming pool,"Pedestrians on the 
sidewalk: 4",045:050,,,,,,,,,,,,,,,,,0,8,8,8,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2128.960982900113,None,space,0.18701960006728768,2128.960982900113,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"•  If you do this, the wire will land on a group of pedestrians on the sidewalk, electrocuting and killing them","People in the swimming 
pool: 9","Probability the wire
will be caught in time: 65%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 3 pedestrians lived.

The ","The 3 pedestrians died.

The 9 people in the swimming pool were saved.",9,35, people in the swimming pool,"Pedestrians on the 
sidewalk: 3",045:050,,,,,,,,,,,,,,,,,0,8,8,8,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2129.1787009998225,None,space,0.1772668999619782,2129.1787009998225,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"• However, the electrician might be able to catch the wire before it falls","People in the swimming 
pool: 7","Probability the wire
will be caught in time: 35%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 4 pedestrians lived.

The ","The 4 pedestrians died.

The 7 people in the swimming pool were saved.",7,65, people in the swimming pool,"Pedestrians on the 
sidewalk: 4",045:050,,,,,,,,,,,,,,,,,0,8,8,8,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2129.3883148999885,None,space,3.5995479999110103,2129.3883148999885,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine what course of action you will take.","People in the swimming 
pool: 6","Probability the wire
will be caught in time: 50%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 3 pedestrians lived.

The ","The 3 pedestrians died.

The 6 people in the swimming pool were saved.",6,50, people in the swimming pool,"Pedestrians on the 
sidewalk: 3",045:050,,,,,,,,,,,,,,,,,0,8,8,8,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2133.0275922999717,None,space,0.9843214997090399,2133.0275922999717,None,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"•There is a live wire dangling from an electric pole

• There is an electrician at the top of the pole trying to gather the wire before it falls into a pool below, where a group of people are swimming","People in the swimming 
 pool: 13","Probability the wire
will be caught in time: 50%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 9 pedestrians lived.

The ","The 9 pedestrians died.

The 13 people in the swimming pool were saved.",13,65, people in the swimming pool,"Pedestrians on the 
sidewalk: 9",045:050,,,,,,,,,,,,,,,,,0,8,8,8,,,,,0,0,0,0,,,,,,,2150.1311388998292,None,,,,,,,2136.035967799835,None,,,,,,,,,,,,,,,,,,,,,2152.148358200211,None,,,,,,,,,,,,,,,n,2.034459199756384,2146.073873599991,None,2148.1296986001544,None,2146.073873599991,None,2146.073873599991,None,2146.073873599991,None,2146.073873599991,None,2146.073873599991,None,2146.073873599991,None,2146.073873599991,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"•There is a sizeable rock on the ground near you, which you can throw at the wire to redirect where it falls

","People in the swimming 
pool: 9","Probability the wire
will be caught in time: 35%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 4 pedestrians lived.

The ","The 4 pedestrians died.

The 9 people in the swimming pool were saved.",9,50, people in the swimming pool,"Pedestrians on the 
sidewalk: 4",045:050,,,,,,,,,,,,,,,,,0,8,8,8,,,,,0,1,1,1,,,,,,,2163.042149099987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2165.0595853999257,None,,,,,,,,,,,,,,,n,2.869615700095892,2158.1506274002604,None,2161.04038090026,None,2158.1506274002604,None,2158.1506274002604,None,2158.1506274002604,None,2158.1506274002604,None,2158.1506274002604,None,2158.1506274002604,None,2158.1506274002604,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
,,DE-EMPHASIZE,EMPHASIZE,"•  If you do this, the wire will land on a group of pedestrians on the sidewalk, electrocuting and killing them","People in the swimming 
pool: 9","Probability the wire
will be caught in time: 65%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 3 pedestrians lived.

The ","The 3 pedestrians died.

The 9 people in the swimming pool were saved.",9,35, people in the swimming pool,"Pedestrians on the 
sidewalk: 3",045:050,,,,,,,,,,,,,,,,,0,8,8,8,,,,,0,2,2,2,,,,,,,2175.4189710002393,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2177.4349320000038,None,,,,,,,,,,,,,,,y,2.331068200059235,2171.056729500182,None,2173.4172435998917,None,2171.056729500182,None,2171.056729500182,None,2171.056729500182,None,2171.056729500182,None,2171.056729500182,None,2171.056729500182,None,2171.056729500182,None,1,001,2019_Dec_16_0906,MoralSRBinaryChoice,3.2.4,60.010645955683266,
