Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,rows2,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,DE-EMPHASIZE,EMPHASIZE,"• There is a group of passengers in the upper section of the submarine, who are beginning to drown

 • The way out is through the lower section, where a group of crewmembers are working","Passengers in the
submarine: 6","Probability the passengers will 
break open a window: 50%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 5 crewmembers lived.

The  ","The 5 crewmembers died.

The 6 passengers were saved.",6,50, passengers,"Crewmembers in the 
lower section: 5",035:040,,,,,,,,,,,,,,,,,0,6,6,6,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222.6036529000849,None,space,0.1504240003414452,1222.6036529000849,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE," • There is an emergency access hatch between the upper and lower sections of the ship

• You can press an emergency switch, which would open the hatch but in doing so would crush and kill the crewmembers who are working below it
","Passengers in the
submarine: 7","Probability the passengers will 
break open a window: 50%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 4 crewmembers lived.

The ","The 4 crewmembers died.

The 7 passengers were saved.",7,50, passengers,"Crewmembers in the 
lower section: 4",035:040,,,,,,,,,,,,,,,,,0,6,6,6,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222.8045716001652,None,space,0.12540230015292764,1222.8045716001652,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• There is a chance that one of the passengers will break a window, allowing them to escape and swim to the surface","Passengers in the
submarine: 9","Probability the passengers will 
break open a window: 65%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 8 crewmembers lived.

The ","The 8 crewmembers died.

The 9 passengers were saved.",9,65, passengers,"Crewmembers in the 
lower section: 8",035:040,,,,,,,,,,,,,,,,,0,6,6,6,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222.962117700372,None,space,0.54393450031057,1222.962117700372,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Open the hatch, killing the crewmembers there

OR

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","Passengers in the
submarine: 6","Probability the passengers will 
break open a window: 50%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 5 crewmembers lived.

The ","The 5 crewmembers died.

The 6 passengers were saved.",6,50, passengers,"Crewmembers in the 
lower section: 4",035:040,,,,,,,,,,,,,,,,,0,6,6,6,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1223.5641877003945,None,space,0.13386849965900183,1223.5641877003945,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"•You are a worker on a large submarine

• The upper section of the submarine has a hole in it that is gradually letting water in","Passengers in the
submarine: 8","Probability the passengers will 
break open a window: 35%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 4 crewmembers lived.

The ","The 4 crewmembers died.

The 8 passengers were saved.",8,35, passengers,"Crewmembers in the 
lower section: 4",035:040,,,,,,,,,,,,,,,,,0,6,6,6,,,,,0,0,0,0,,,,,,,1241.3006141004153,None,,,,,,,1243.3043643999845,None,,,,,,,,,,,,,,,,,1237.3110641003586,None,,,,,,,,,,,,,,,n,2.519291500095278,1230.7470370000228,None,1233.2946859002113,None,1230.7470370000228,None,1230.7470370000228,None,1230.7470370000228,None,1230.7470370000228,None,1230.7470370000228,None,1230.7470370000228,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• There is a group of passengers in the upper section of the submarine, who are beginning to drown

 • The way out is through the lower section, where a group of crewmembers are working","Passengers in the
submarine: 6","Probability the passengers will 
break open a window: 50%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 5 crewmembers lived.

The  ","The 5 crewmembers died.

The 6 passengers were saved.",6,50, passengers,"Crewmembers in the 
lower section: 5",035:040,,,,,,,,,,,,,,,,,0,6,6,6,,,,,0,1,1,1,,,,,,,1257.714574099984,None,,,,,,,1259.7172744004056,None,,,,,,,,,,,,,,,,,1253.724137400277,None,,,,,,,,,,,,,,,y,1.357416100334376,1248.3248886000365,None,1249.7085537002422,None,1248.3248886000365,None,1248.3248886000365,None,1248.3248886000365,None,1248.3248886000365,None,1248.3248886000365,None,1248.3248886000365,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE," • There is an emergency access hatch between the upper and lower sections of the ship

• You can press an emergency switch, which would open the hatch but in doing so would crush and kill the crewmembers who are working below it
","Passengers in the
submarine: 7","Probability the passengers will 
break open a window: 50%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 4 crewmembers lived.

The ","The 4 crewmembers died.

The 7 passengers were saved.",7,50, passengers,"Crewmembers in the 
lower section: 4",035:040,,,,,,,,,,,,,,,,,0,6,6,6,,,,,0,2,2,2,,,,,,,1272.8109941002913,None,,,,,,,1274.8136676000431,None,,,,,,,,,,,,,,,,,1268.8225097004324,None,,,,,,,,,,,,,,,y,0.0564946997910738,1264.72980990028,None,1264.804008200299,None,1264.72980990028,None,1264.72980990028,None,1264.72980990028,None,1264.72980990028,None,1264.72980990028,None,1264.72980990028,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• There is a chance that one of the passengers will break a window, allowing them to escape and swim to the surface","Passengers in the
submarine: 9","Probability the passengers will 
break open a window: 65%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 8 crewmembers lived.

The ","The 8 crewmembers died.

The 9 passengers were saved.",9,65, passengers,"Crewmembers in the 
lower section: 8",035:040,,,,,,,,,,,,,,,,,0,6,6,6,,,,,0,3,3,3,,,,,,,1314.0780801000074,None,,,,,,,1316.0839148000814,None,,,,,,,,,,,,,,,,,1310.0883594001643,None,,,,,,,,,,,,,,,y,26.212977999821305,1279.8371244003065,None,1306.0714944000356,None,1279.8371244003065,None,1279.8371244003065,None,1279.8371244003065,None,1279.8371244003065,None,1279.8371244003065,None,1279.8371244003065,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Open the hatch, killing the crewmembers there

OR

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","Passengers in the
submarine: 6","Probability the passengers will 
break open a window: 50%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 5 crewmembers lived.

The ","The 5 crewmembers died.

The 6 passengers were saved.",6,50, passengers,"Crewmembers in the 
lower section: 4",035:040,,,,,,,,,,,,,,,,,0,6,6,6,,,,,0,4,4,4,,,,,,,1341.1171558001079,None,,,,,,,1343.1209447002038,None,,,,,,,,,,,,,,,,,1337.1259109000675,None,,,,,,,,,,,,,,,n,11.988361800089478,1321.1018082001247,None,1333.1108585000038,None,1321.1018082001247,None,1321.1018082001247,None,1321.1018082001247,None,1321.1018082001247,None,1321.1018082001247,None,1321.1018082001247,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,035:040,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• You are working in a security room of a zoo and can see all of the exhibits through the security cameras

• You see that a group of tourists have gone beyond a safety gate and are now stuck in the right side of a lion enclosure, with a lion gradually approaching them ",Tourists in the enclosure: 11,"Probability the tourists
will escape: 50%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 3 zookeepers lived.

The ","The 3 zookeepers died. 

The 11 tourists in the enclosure escaped.",11,35, tourists in the enclosure,"Zookeepers in the 
enclosure: 3",040:045,,,,,,,,,,,,,,,,,0,7,7,7,0,0,0,0,,,,,,,,,,,1346.1213063001633,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1348.155092400033,None,space,33.89501229999587,1348.155092400033,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• You also see that there are also zookeepers on the left side of the enclosure who are cleaning the area

• You can release bait to get the lion’s attention using your security console, but you can only direct the lion’s attention in one direction",Tourists in the enclosure: 4,"Probability the tourists
will escape: 35%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The ","The 2 zookeepers died. 

The 4 tourists in the enclosure escaped.",4,50, tourists in the enclosure,"Zookeepers in the 
enclosure: 2",040:045,,,,,,,,,,,,,,,,,0,7,7,7,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1382.0957071003504,None,space,0.6104226000607014,1382.0957071003504,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• There is a single ladder in the middle of the enclosure which leads to safety

•  If you throw the bait in the direction of the zookeepers, the lion will definitely attack and kill the zookeepers, but the tourists will be able to escape to safety ",Tourists in the enclosure: 7,"Probability the tourists
will escape: 65%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The ","The 2 zookeepers died. 

The 7  tourists in the enclosure escaped.",7,35, tourists in the enclosure,"Zookeepers in the 
enclosure: 2",040:045,,,,,,,,,,,,,,,,,0,7,7,7,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1382.754883600399,None,space,0.7509988001547754,1382.754883600399,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• However, there is a chance that the tourists will make it to the ladder before the lion reaches them. ",Tourists in the enclosure: 8,"Probability the tourists
will escape: 50%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 5 zookeepers lived.

The ","The 5 zookeepers died. 

The 8 tourists in the enclosure escaped.",8,65, tourists in the enclosure,"Zookeepers in the 
enclosure: 5",040:045,,,,,,,,,,,,,,,,,0,7,7,7,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1383.5437909001485,None,space,0.6341448002494872,1383.5437909001485,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Throw the bait to the left, leaving the zookeepers to die

OR

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder",Tourists in the enclosure: 3,"Probability the tourists
will escape: 65%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The ","The 2 zookeepers died. 

The 3 tourists in the enclosure escaped.",3,65, tourists in the enclosure,"Zookeepers in the 
enclosure: 2",040:045,,,,,,,,,,,,,,,,,0,7,7,7,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1384.2346145003103,None,space,1.7992956996895373,1384.2346145003103,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• You are working in a security room of a zoo and can see all of the exhibits through the security cameras

• You see that a group of tourists have gone beyond a safety gate and are now stuck in the right side of a lion enclosure, with a lion gradually approaching them ",Tourists in the enclosure: 11,"Probability the tourists
will escape: 50%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 3 zookeepers lived.

The ","The 3 zookeepers died. 

The 11 tourists in the enclosure escaped.",11,35, tourists in the enclosure,"Zookeepers in the 
enclosure: 3",040:045,,,,,,,,,,,,,,,,,0,7,7,7,,,,,0,0,0,0,,,,,,,1431.5923619000241,None,,,,,,,1433.5954001001082,None,,,,,,,,,,,,,,,,,1427.6042360002175,None,,,,,,,,,,,,,,,n,30.493128799833357,1393.0768152000383,None,1423.5865049003623,None,1393.0768152000383,None,1393.0768152000383,None,1393.0768152000383,None,1393.0768152000383,None,1393.0768152000383,None,1393.0768152000383,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• You also see that there are also zookeepers on the left side of the enclosure who are cleaning the area

• You can release bait to get the lion’s attention using your security console, but you can only direct the lion’s attention in one direction",Tourists in the enclosure: 4,"Probability the tourists
will escape: 35%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The ","The 2 zookeepers died. 

The 4 tourists in the enclosure escaped.",4,50, tourists in the enclosure,"Zookeepers in the 
enclosure: 2",040:045,,,,,,,,,,,,,,,,,0,7,7,7,,,,,0,1,1,1,,,,,,,1449.3403951004148,None,,,,,,,1451.3435331000946,None,,,,,,,,,,,,,,,,,1445.351365700364,None,,,,,,,,,,,,,,,n,2.7021774002350867,1438.6133128004149,None,1441.3340393002145,None,1438.6133128004149,None,1438.6133128004149,None,1438.6133128004149,None,1438.6133128004149,None,1438.6133128004149,None,1438.6133128004149,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• There is a single ladder in the middle of the enclosure which leads to safety

•  If you throw the bait in the direction of the zookeepers, the lion will definitely attack and kill the zookeepers, but the tourists will be able to escape to safety ",Tourists in the enclosure: 7,"Probability the tourists
will escape: 65%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The ","The 2 zookeepers died. 

The 7  tourists in the enclosure escaped.",7,35, tourists in the enclosure,"Zookeepers in the 
enclosure: 2",040:045,,,,,,,,,,,,,,,,,0,7,7,7,,,,,0,2,2,2,,,,,,,1481.5175627004355,None,,,,,,,1483.5211732001044,None,,,,,,,,,,,,,,,,,1477.531913800165,None,,,,,,,,,,,,,,,n,17.1362386001274,1456.353578499984,None,1473.511159799993,None,1456.353578499984,None,1456.353578499984,None,1456.353578499984,None,1456.353578499984,None,1456.353578499984,None,1456.353578499984,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"• However, there is a chance that the tourists will make it to the ladder before the lion reaches them. ",Tourists in the enclosure: 8,"Probability the tourists
will escape: 50%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 5 zookeepers lived.

The ","The 5 zookeepers died. 

The 8 tourists in the enclosure escaped.",8,65, tourists in the enclosure,"Zookeepers in the 
enclosure: 5",040:045,,,,,,,,,,,,,,,,,0,7,7,7,,,,,0,3,3,3,,,,,,,1505.1033100001514,None,,,,,,,1507.1071796002798,None,,,,,,,,,,,,,,,,,1501.1146111004055,None,,,,,,,,,,,,,,,n,8.537267100065947,1488.5365516003221,None,1497.0969475000165,None,1488.5365516003221,None,1488.5365516003221,None,1488.5365516003221,None,1488.5365516003221,None,1488.5365516003221,None,1488.5365516003221,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Throw the bait to the left, leaving the zookeepers to die

OR

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder",Tourists in the enclosure: 3,"Probability the tourists
will escape: 65%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The ","The 2 zookeepers died. 

The 3 tourists in the enclosure escaped.",3,65, tourists in the enclosure,"Zookeepers in the 
enclosure: 2",040:045,,,,,,,,,,,,,,,,,0,7,7,7,,,,,0,4,4,4,,,,,,,1536.262898800429,None,,,,,,,1538.265394099988,None,,,,,,,,,,,,,,,,,1532.2750434000045,None,,,,,,,,,,,,,,,n,16.100887899752706,1512.1250656000338,None,1528.2561274003237,None,1512.1250656000338,None,1512.1250656000338,None,1512.1250656000338,None,1512.1250656000338,None,1512.1250656000338,None,1512.1250656000338,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,040:045,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"•There is a live wire dangling from an electric pole

• There is an electrician at the top of the pole trying to gather the wire before it falls into a pool below, where a group of people are swimming","People in the swimming 
 pool: 13","Probability the wire
will be caught in time: 50%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 9 pedestrians lived.

The ","The 9 pedestrians died.

The 13 people in the swimming pool were saved.",13,65, people in the swimming pool,"Pedestrians on the 
sidewalk: 9",045:050,,,,,,,,,,,,,,,,,0,8,8,8,0,0,0,0,,,,,,,,,,,1541.266335400287,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1543.2969022002071,None,space,1.6169130997732282,1543.2969022002071,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"•There is a sizeable rock on the ground near you, which you can throw at the wire to redirect where it falls

","People in the swimming 
pool: 9","Probability the wire
will be caught in time: 35%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 4 pedestrians lived.

The ","The 4 pedestrians died.

The 9 people in the swimming pool were saved.",9,50, people in the swimming pool,"Pedestrians on the 
sidewalk: 4",045:050,,,,,,,,,,,,,,,,,0,8,8,8,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1544.9482764001004,None,space,0.25416989997029305,1544.9482764001004,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"•  If you do this, the wire will land on a group of pedestrians on the sidewalk, electrocuting and killing them","People in the swimming 
pool: 9","Probability the wire
will be caught in time: 65%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 3 pedestrians lived.

The ","The 3 pedestrians died.

The 9 people in the swimming pool were saved.",9,35, people in the swimming pool,"Pedestrians on the 
sidewalk: 3",045:050,,,,,,,,,,,,,,,,,0,8,8,8,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1545.2307246001437,None,space,0.3393113003112376,1545.2307246001437,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"• However, the electrician might be able to catch the wire before it falls","People in the swimming 
pool: 7","Probability the wire
will be caught in time: 35%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 4 pedestrians lived.

The ","The 4 pedestrians died.

The 7 people in the swimming pool were saved.",7,65, people in the swimming pool,"Pedestrians on the 
sidewalk: 4",045:050,,,,,,,,,,,,,,,,,0,8,8,8,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1545.595322899986,None,space,0.42421979969367385,1545.595322899986,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Plan: Throw the rock, redirecting the wire and killing the pedestrians

OR

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","People in the swimming 
pool: 6","Probability the wire
will be caught in time: 50%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 3 pedestrians lived.

The ","The 3 pedestrians died.

The 6 people in the swimming pool were saved.",6,50, people in the swimming pool,"Pedestrians on the 
sidewalk: 3",045:050,,,,,,,,,,,,,,,,,0,8,8,8,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1546.0702659003437,None,space,1.9006245001219213,1546.0702659003437,None,,,,,,,,,,,,,,,,,,,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"•There is a live wire dangling from an electric pole

• There is an electrician at the top of the pole trying to gather the wire before it falls into a pool below, where a group of people are swimming","People in the swimming 
 pool: 13","Probability the wire
will be caught in time: 50%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 9 pedestrians lived.

The ","The 9 pedestrians died.

The 13 people in the swimming pool were saved.",13,65, people in the swimming pool,"Pedestrians on the 
sidewalk: 9",045:050,,,,,,,,,,,,,,,,,0,8,8,8,,,,,0,0,0,0,,,,,,,1566.5042855003849,None,,,,,,,1568.5069216000848,None,,,,,,,,,,,,,,,,,1562.5173623003066,None,,,,,,,,,,,,,,,n,3.4397207000292838,1555.0260811001062,None,1558.498629400041,None,1555.0260811001062,None,1555.0260811001062,None,1555.0260811001062,None,1555.0260811001062,None,1555.0260811001062,None,1555.0260811001062,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"•There is a sizeable rock on the ground near you, which you can throw at the wire to redirect where it falls

","People in the swimming 
pool: 9","Probability the wire
will be caught in time: 35%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 4 pedestrians lived.

The ","The 4 pedestrians died.

The 9 people in the swimming pool were saved.",9,50, people in the swimming pool,"Pedestrians on the 
sidewalk: 4",045:050,,,,,,,,,,,,,,,,,0,8,8,8,,,,,0,1,1,1,,,,,,,1582.8342608003877,None,,,,,,,1584.8385820002295,None,,,,,,,,,,,,,,,,,1578.850727900397,None,,,,,,,,,,,,,,,n,1.2763572996482253,1573.5255174003541,None,1574.827936600428,None,1573.5255174003541,None,1573.5255174003541,None,1573.5255174003541,None,1573.5255174003541,None,1573.5255174003541,None,1573.5255174003541,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
,,DE-EMPHASIZE,EMPHASIZE,"•  If you do this, the wire will land on a group of pedestrians on the sidewalk, electrocuting and killing them","People in the swimming 
pool: 9","Probability the wire
will be caught in time: 65%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 3 pedestrians lived.

The ","The 3 pedestrians died.

The 9 people in the swimming pool were saved.",9,35, people in the swimming pool,"Pedestrians on the 
sidewalk: 3",045:050,,,,,,,,,,,,,,,,,0,8,8,8,,,,,0,2,2,2,,,,,,,1616.0952384001575,None,,,,,,,1618.0988777000457,None,,,,,,,,,,,,,,,,,1612.106601100415,None,,,,,,,,,,,,,,,n,18.216723900288343,1589.8489646003582,None,1608.08903370006,None,1589.8489646003582,None,1589.8489646003582,None,1589.8489646003582,None,1589.8489646003582,None,1589.8489646003582,None,1589.8489646003582,None,1,001,2019_Dec_18_1145,MoralSRBinaryChoice,3.2.4,59.9598389151794,
