Instructions,rows,CueInstructions1,CueInstructions2,PracticeDilemmas,PracticeLeftText,PracticeRightText,Reminder,ChoseNothing,ChosePlan,GroupNumber,GroupProb,Noun,sureGroupText,rows2,IntroLoop.thisRepN,IntroLoop.thisTrialN,IntroLoop.thisN,IntroLoop.thisIndex,PracticeLoop.thisRepN,PracticeLoop.thisTrialN,PracticeLoop.thisN,PracticeLoop.thisIndex,PracticeQs.thisRepN,PracticeQs.thisTrialN,PracticeQs.thisN,PracticeQs.thisIndex,practiceAs.thisRepN,practiceAs.thisTrialN,practiceAs.thisN,practiceAs.thisIndex,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,MainQs.thisRepN,MainQs.thisTrialN,MainQs.thisN,MainQs.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,InstText.started,InstText.stopped,space.keys,space.rt,space.started,space.stopped,isi.started,isi.stopped,practiceQs.started,practiceQs.stopped,space1.keys,space1.rt,space1.started,space1.stopped,cue.started,cue.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,conBlank.started,conBlank.stopped,leftText.started,leftText.stopped,rightText.started,rightText.stopped,Yes.started,Yes.stopped,No.started,No.stopped,sureGroup.started,sureGroup.stopped,FeedbackVar.started,FeedbackVar.stopped,isi_2.started,isi_2.stopped,instructions2.started,instructions2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,conBlank2.started,conBlank2.stopped,RemText2.started,RemText2.stopped,leftText2.started,leftText2.stopped,rightText2.started,rightText2.stopped,yes2.started,yes2.stopped,no2.started,no2.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,DE-EMPHASIZE,EMPHASIZE,"• There is a group of passengers in the upper section of the submarine, who are beginning to drown

 • The way out is through the lower section, where a group of crewmembers are working","Passengers in the
submarine: 6","Probability the passengers will 
break open a window: 50%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 5 crewmembers lived.

The  ","The 5 crewmembers died.

The 6 passengers were saved.",6,50, passengers,"Crewmembers in the 
lower section: 5",035:040,,,,,,,,,,,,,,,,,0,6,6,6,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747.5856026001275,None,space,0.1629993999376893,747.5856026001275,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE," • There is an emergency access hatch between the upper and lower sections of the ship

• You can press an emergency switch, which would open the hatch but in doing so would crush and kill the crewmembers who are working below it
","Passengers in the
submarine: 7","Probability the passengers will 
break open a window: 50%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 4 crewmembers lived.

The ","The 4 crewmembers died.

The 7 passengers were saved.",7,50, passengers,"Crewmembers in the 
lower section: 4",035:040,,,,,,,,,,,,,,,,,0,6,6,6,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747.7898504000623,None,space,0.13495949981734157,747.7898504000623,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• There is a chance that one of the passengers will break a window, allowing them to escape and swim to the surface","Passengers in the
submarine: 9","Probability the passengers will 
break open a window: 65%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 8 crewmembers lived.

The ","The 8 crewmembers died.

The 9 passengers were saved.",9,65, passengers,"Crewmembers in the 
lower section: 8",035:040,,,,,,,,,,,,,,,,,0,6,6,6,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747.9610969000496,None,space,0.14033400011248887,747.9610969000496,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Open the hatch, killing the crewmembers there

OR

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","Passengers in the
submarine: 6","Probability the passengers will 
break open a window: 50%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 5 crewmembers lived.

The ","The 5 crewmembers died.

The 6 passengers were saved.",6,50, passengers,"Crewmembers in the 
lower section: 4",035:040,,,,,,,,,,,,,,,,,0,6,6,6,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748.1482077999972,None,space,0.19247580016963184,748.1482077999972,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"•You are a worker on a large submarine

• The upper section of the submarine has a hole in it that is gradually letting water in","Passengers in the
submarine: 8","Probability the passengers will 
break open a window: 35%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 4 crewmembers lived.

The ","The 4 crewmembers died.

The 8 passengers were saved.",8,35, passengers,"Crewmembers in the 
lower section: 4",035:040,,,,,,,,,,,,,,,,,0,6,6,6,,,,,0,0,0,0,,,,,,,769.0204127000179,None,,,,,,,750.3849498999771,None,,,,,,,,,,,,,,,,,765.0285807000473,None,,,,,,,,,,,,,,,n,5.600164599949494,755.3964694000315,None,761.0135347000323,None,755.3964694000315,None,755.3964694000315,None,755.3964694000315,None,755.3964694000315,None,755.3964694000315,None,755.3964694000315,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• There is a group of passengers in the upper section of the submarine, who are beginning to drown

 • The way out is through the lower section, where a group of crewmembers are working","Passengers in the
submarine: 6","Probability the passengers will 
break open a window: 50%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 5 crewmembers lived.

The  ","The 5 crewmembers died.

The 6 passengers were saved.",6,50, passengers,"Crewmembers in the 
lower section: 5",035:040,,,,,,,,,,,,,,,,,0,6,6,6,,,,,0,1,1,1,,,,,,,785.5838884001132,None,,,,,,,771.024227600079,None,,,,,,,,,,,,,,,,,781.5946011000779,None,,,,,,,,,,,,,,,n,1.5127387000247836,776.0439689999912,None,777.5774819999933,None,776.0439689999912,None,776.0439689999912,None,776.0439689999912,None,776.0439689999912,None,776.0439689999912,None,776.0439689999912,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE," • There is an emergency access hatch between the upper and lower sections of the ship

• You can press an emergency switch, which would open the hatch but in doing so would crush and kill the crewmembers who are working below it
","Passengers in the
submarine: 7","Probability the passengers will 
break open a window: 50%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 4 crewmembers lived.

The ","The 4 crewmembers died.

The 7 passengers were saved.",7,50, passengers,"Crewmembers in the 
lower section: 4",035:040,,,,,,,,,,,,,,,,,0,6,6,6,,,,,0,2,2,2,,,,,,,804.3832072000951,None,,,,,,,787.588170300005,None,,,,,,,,,,,,,,,,,800.3929117000662,None,,,,,,,,,,,,,,,n,3.759612200083211,792.598249200033,None,796.3764392000157,None,792.598249200033,None,792.598249200033,None,792.598249200033,None,792.598249200033,None,792.598249200033,None,792.598249200033,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• There is a chance that one of the passengers will break a window, allowing them to escape and swim to the surface","Passengers in the
submarine: 9","Probability the passengers will 
break open a window: 65%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 8 crewmembers lived.

The ","The 8 crewmembers died.

The 9 passengers were saved.",9,65, passengers,"Crewmembers in the 
lower section: 8",035:040,,,,,,,,,,,,,,,,,0,6,6,6,,,,,0,3,3,3,,,,,,,823.8824374000542,None,,,,,,,806.3870727000758,None,,,,,,,,,,,,,,,,,819.8903161000926,None,,,,,,,,,,,,,,,n,4.437645000172779,811.406858399976,None,815.8760866001248,None,811.406858399976,None,811.406858399976,None,811.406858399976,None,811.406858399976,None,811.406858399976,None,811.406858399976,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Open the hatch, killing the crewmembers there

OR

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","Passengers in the
submarine: 6","Probability the passengers will 
break open a window: 50%","Plan: Open the hatch, killing the crewmembers there

Do nothing: The crewmembers in the lower section will live, the passengers have a chance of escape","The 5 crewmembers lived.

The ","The 5 crewmembers died.

The 6 passengers were saved.",6,50, passengers,"Crewmembers in the 
lower section: 4",035:040,,,,,,,,,,,,,,,,,0,6,6,6,,,,,0,4,4,4,,,,,,,840.2959976000711,None,,,,,,,825.8865879999939,None,,,,,,,,,,,,,,,,,836.3060800000094,None,,,,,,,,,,,,,,,n,1.3510919997934252,830.9092521001585,None,832.2902112000156,None,830.9092521001585,None,830.9092521001585,None,830.9092521001585,None,830.9092521001585,None,830.9092521001585,None,830.9092521001585,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,,,,,,,,,,,035:040,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• You are working in a security room of a zoo and can see all of the exhibits through the security cameras

• You see that a group of tourists have gone beyond a safety gate and are now stuck in the right side of a lion enclosure, with a lion gradually approaching them ",Tourists in the enclosure: 11,"Probability the tourists
will escape: 50%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 3 zookeepers lived.

The ","The 3 zookeepers died. 

The 11 tourists in the enclosure escaped.",11,35, tourists in the enclosure,"Zookeepers in the 
enclosure: 3",040:045,,,,,,,,,,,,,,,,,0,7,7,7,0,0,0,0,,,,,,,,,,,842.2979574000929,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844.3326042001136,None,space,7.623998400056735,844.3326042001136,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• You also see that there are also zookeepers on the left side of the enclosure who are cleaning the area

• You can release bait to get the lion’s attention using your security console, but you can only direct the lion’s attention in one direction",Tourists in the enclosure: 4,"Probability the tourists
will escape: 35%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The ","The 2 zookeepers died. 

The 4 tourists in the enclosure escaped.",4,50, tourists in the enclosure,"Zookeepers in the 
enclosure: 2",040:045,,,,,,,,,,,,,,,,,0,7,7,7,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851.9941720999777,None,space,0.4106320000719279,851.9941720999777,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• There is a single ladder in the middle of the enclosure which leads to safety

•  If you throw the bait in the direction of the zookeepers, the lion will definitely attack and kill the zookeepers, but the tourists will be able to escape to safety ",Tourists in the enclosure: 7,"Probability the tourists
will escape: 65%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The ","The 2 zookeepers died. 

The 7  tourists in the enclosure escaped.",7,35, tourists in the enclosure,"Zookeepers in the 
enclosure: 2",040:045,,,,,,,,,,,,,,,,,0,7,7,7,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852.4429687000811,None,space,0.4094219000544399,852.4429687000811,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• However, there is a chance that the tourists will make it to the ladder before the lion reaches them. ",Tourists in the enclosure: 8,"Probability the tourists
will escape: 50%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 5 zookeepers lived.

The ","The 5 zookeepers died. 

The 8 tourists in the enclosure escaped.",8,65, tourists in the enclosure,"Zookeepers in the 
enclosure: 5",040:045,,,,,,,,,,,,,,,,,0,7,7,7,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,852.8806337001733,None,space,0.4037677999585867,852.8806337001733,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Throw the bait to the left, leaving the zookeepers to die

OR

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder",Tourists in the enclosure: 3,"Probability the tourists
will escape: 65%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The ","The 2 zookeepers died. 

The 3 tourists in the enclosure escaped.",3,65, tourists in the enclosure,"Zookeepers in the 
enclosure: 2",040:045,,,,,,,,,,,,,,,,,0,7,7,7,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853.337348600151,None,space,0.8111713000107557,853.337348600151,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• You are working in a security room of a zoo and can see all of the exhibits through the security cameras

• You see that a group of tourists have gone beyond a safety gate and are now stuck in the right side of a lion enclosure, with a lion gradually approaching them ",Tourists in the enclosure: 11,"Probability the tourists
will escape: 50%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 3 zookeepers lived.

The ","The 3 zookeepers died. 

The 11 tourists in the enclosure escaped.",11,35, tourists in the enclosure,"Zookeepers in the 
enclosure: 3",040:045,,,,,,,,,,,,,,,,,0,7,7,7,,,,,0,0,0,0,,,,,,,870.4380409000441,None,,,,,,,856.1903677000664,None,,,,,,,,,,,,,,,,,866.4507349000778,None,,,,,,,,,,,,,,,n,1.2042111000046134,861.2004142000806,None,862.4311365999747,None,861.2004142000806,None,861.2004142000806,None,861.2004142000806,None,861.2004142000806,None,861.2004142000806,None,861.2004142000806,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• You also see that there are also zookeepers on the left side of the enclosure who are cleaning the area

• You can release bait to get the lion’s attention using your security console, but you can only direct the lion’s attention in one direction",Tourists in the enclosure: 4,"Probability the tourists
will escape: 35%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The ","The 2 zookeepers died. 

The 4 tourists in the enclosure escaped.",4,50, tourists in the enclosure,"Zookeepers in the 
enclosure: 2",040:045,,,,,,,,,,,,,,,,,0,7,7,7,,,,,0,1,1,1,,,,,,,887.0016362001188,None,,,,,,,872.4419556001667,None,,,,,,,,,,,,,,,,,883.0112487000879,None,,,,,,,,,,,,,,,n,1.521510599879548,877.4588964001741,None,878.9948341001291,None,877.4588964001741,None,877.4588964001741,None,877.4588964001741,None,877.4588964001741,None,877.4588964001741,None,877.4588964001741,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• There is a single ladder in the middle of the enclosure which leads to safety

•  If you throw the bait in the direction of the zookeepers, the lion will definitely attack and kill the zookeepers, but the tourists will be able to escape to safety ",Tourists in the enclosure: 7,"Probability the tourists
will escape: 65%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The ","The 2 zookeepers died. 

The 7  tourists in the enclosure escaped.",7,35, tourists in the enclosure,"Zookeepers in the 
enclosure: 2",040:045,,,,,,,,,,,,,,,,,0,7,7,7,,,,,0,2,2,2,,,,,,,903.2148404000327,None,,,,,,,889.0046684001572,None,,,,,,,,,,,,,,,,,899.2260467000306,None,,,,,,,,,,,,,,,n,1.1746581001207232,894.0150248999707,None,895.2089178001042,None,894.0150248999707,None,894.0150248999707,None,894.0150248999707,None,894.0150248999707,None,894.0150248999707,None,894.0150248999707,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"• However, there is a chance that the tourists will make it to the ladder before the lion reaches them. ",Tourists in the enclosure: 8,"Probability the tourists
will escape: 50%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 5 zookeepers lived.

The ","The 5 zookeepers died. 

The 8 tourists in the enclosure escaped.",8,65, tourists in the enclosure,"Zookeepers in the 
enclosure: 5",040:045,,,,,,,,,,,,,,,,,0,7,7,7,,,,,0,3,3,3,,,,,,,922.1307818000205,None,,,,,,,905.2310409001075,None,,,,,,,,,,,,,,,,,918.1433602999896,None,,,,,,,,,,,,,,,n,3.864520400064066,910.2358779001515,None,914.1241701000836,None,910.2358779001515,None,910.2358779001515,None,910.2358779001515,None,910.2358779001515,None,910.2358779001515,None,910.2358779001515,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Implement the plan: Throw the bait to the left, leaving the zookeepers to die

OR

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder",Tourists in the enclosure: 3,"Probability the tourists
will escape: 65%","Plan: Throw the bait to the left, leaving the zookeepers to die

Do nothing: The zookeepers will live, the tourists have a chance of escaping up the ladder","The 2 zookeepers lived.

The ","The 2 zookeepers died. 

The 3 tourists in the enclosure escaped.",3,65, tourists in the enclosure,"Zookeepers in the 
enclosure: 2",040:045,,,,,,,,,,,,,,,,,0,7,7,7,,,,,0,4,4,4,,,,,,,939.1945976000279,None,,,,,,,924.1342613000888,None,,,,,,,,,,,,,,,,,935.2071921001188,None,,,,,,,,,,,,,,,y,2.005218500038609,929.1512154999655,None,931.1893056000117,None,929.1512154999655,None,929.1512154999655,None,929.1512154999655,None,929.1512154999655,None,929.1512154999655,None,929.1512154999655,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,EMPHASIZE,DE-EMPHASIZE,,,,,,,,,,,040:045,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"•There is a live wire dangling from an electric pole

• There is an electrician at the top of the pole trying to gather the wire before it falls into a pool below, where a group of people are swimming","People in the swimming 
 pool: 13","Probability the wire
will be caught in time: 50%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 9 pedestrians lived.

The ","The 9 pedestrians died.

The 13 people in the swimming pool were saved.",13,65, people in the swimming pool,"Pedestrians on the 
sidewalk: 9",045:050,,,,,,,,,,,,,,,,,0,8,8,8,0,0,0,0,,,,,,,,,,,941.1963369001169,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943.2284920001402,None,space,4.23182149999775,943.2284920001402,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"•There is a sizeable rock on the ground near you, which you can throw at the wire to redirect where it falls

","People in the swimming 
pool: 9","Probability the wire
will be caught in time: 35%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 4 pedestrians lived.

The ","The 4 pedestrians died.

The 9 people in the swimming pool were saved.",9,50, people in the swimming pool,"Pedestrians on the 
sidewalk: 4",045:050,,,,,,,,,,,,,,,,,0,8,8,8,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,947.4948952000123,None,space,0.57341150008142,947.4948952000123,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"•  If you do this, the wire will land on a group of pedestrians on the sidewalk, electrocuting and killing them","People in the swimming 
pool: 9","Probability the wire
will be caught in time: 65%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 3 pedestrians lived.

The ","The 3 pedestrians died.

The 9 people in the swimming pool were saved.",9,35, people in the swimming pool,"Pedestrians on the 
sidewalk: 3",045:050,,,,,,,,,,,,,,,,,0,8,8,8,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948.0954772001132,None,space,0.5650284998118877,948.0954772001132,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"• However, the electrician might be able to catch the wire before it falls","People in the swimming 
pool: 7","Probability the wire
will be caught in time: 35%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 4 pedestrians lived.

The ","The 4 pedestrians died.

The 7 people in the swimming pool were saved.",7,65, people in the swimming pool,"Pedestrians on the 
sidewalk: 4",045:050,,,,,,,,,,,,,,,,,0,8,8,8,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948.6938442999963,None,space,1.086452999850735,948.6938442999963,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"Consider each of the following scenarios and, for each one, determine if you will:

Plan: Throw the rock, redirecting the wire and killing the pedestrians

OR

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","People in the swimming 
pool: 6","Probability the wire
will be caught in time: 50%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 3 pedestrians lived.

The ","The 3 pedestrians died.

The 6 people in the swimming pool were saved.",6,50, people in the swimming pool,"Pedestrians on the 
sidewalk: 3",045:050,,,,,,,,,,,,,,,,,0,8,8,8,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949.8352195001207,None,space,0.713156099896878,949.8352195001207,None,,,,,,,,,,,,,,,,,,,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"•There is a live wire dangling from an electric pole

• There is an electrician at the top of the pole trying to gather the wire before it falls into a pool below, where a group of people are swimming","People in the swimming 
 pool: 13","Probability the wire
will be caught in time: 50%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 9 pedestrians lived.

The ","The 9 pedestrians died.

The 13 people in the swimming pool were saved.",13,65, people in the swimming pool,"Pedestrians on the 
sidewalk: 9",045:050,,,,,,,,,,,,,,,,,0,8,8,8,,,,,0,0,0,0,,,,,,,972.2220854000188,None,,,,,,,952.5841485001147,None,,,,,,,,,,,,,,,,,968.2374348000158,None,,,,,,,,,,,,,,,n,6.605051199905574,957.5925475000404,None,964.215773000149,None,957.5925475000404,None,957.5925475000404,None,957.5925475000404,None,957.5925475000404,None,957.5925475000404,None,957.5925475000404,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"•There is a sizeable rock on the ground near you, which you can throw at the wire to redirect where it falls

","People in the swimming 
pool: 9","Probability the wire
will be caught in time: 35%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 4 pedestrians lived.

The ","The 4 pedestrians died.

The 9 people in the swimming pool were saved.",9,50, people in the swimming pool,"Pedestrians on the 
sidewalk: 4",045:050,,,,,,,,,,,,,,,,,0,8,8,8,,,,,0,1,1,1,,,,,,,993.8071591001935,None,,,,,,,974.2299442000221,None,,,,,,,,,,,,,,,,,989.8188700000755,None,,,,,,,,,,,,,,,n,6.53672770014964,979.2451027000789,None,985.8003206001595,None,979.2451027000789,None,979.2451027000789,None,979.2451027000789,None,979.2451027000789,None,979.2451027000789,None,979.2451027000789,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
,,DE-EMPHASIZE,EMPHASIZE,"•  If you do this, the wire will land on a group of pedestrians on the sidewalk, electrocuting and killing them","People in the swimming 
pool: 9","Probability the wire
will be caught in time: 65%","Plan: Throw the rock, redirecting the wire and killing the pedestrians

Do nothing: The pedestrians will live, the people in the swimming pool have a chance of surviving if the wire is caught","The 3 pedestrians lived.

The ","The 3 pedestrians died.

The 9 people in the swimming pool were saved.",9,35, people in the swimming pool,"Pedestrians on the 
sidewalk: 3",045:050,,,,,,,,,,,,,,,,,0,8,8,8,,,,,0,2,2,2,,,,,,,1013.1900572001468,None,,,,,,,995.8109365999699,None,,,,,,,,,,,,,,,,,1009.2026667001192,None,,,,,,,,,,,,,,,y,4.336144299944863,1000.8203378000762,None,1005.1829370001797,None,1000.8203378000762,None,1000.8203378000762,None,1000.8203378000762,None,1000.8203378000762,None,1000.8203378000762,None,1000.8203378000762,None,1,001,2020_Feb_06_0943,MoralSRBinaryChoice,3.2.4,60.06568777692713,
